cluster	road	value	ridx
0	1	8	139659
0	2	8	139664
0	3	8	181220
0	4	8	181226
0	5	7	139623
0	6	7	139648
0	7	7	139666
0	8	7	139668
0	9	7	139675
0	10	7	139609
0	11	0	137337
0	12	0	137343
0	13	0	137346
0	14	0	137376
0	15	0	137373
0	16	0	137369
0	17	0	135241
0	18	0	137359
0	19	0	137361
0	20	0	137353
1	1	0	139659
1	2	0	139664
1	3	0	181220
1	4	0	181226
1	5	0	139623
1	6	0	139648
1	7	0	139666
1	8	0	139668
1	9	0	139675
1	10	0	139609
1	11	110	137337
1	12	108	137343
1	13	92	137346
1	14	83	137376
1	15	83	137373
1	16	83	137369
1	17	81	135241
1	18	81	137359
1	19	80	137361
1	20	79	137353
2	1	0	139659
2	2	0	139664
2	3	0	181220
2	4	0	181226
2	5	0	139623
2	6	0	139648
2	7	0	139666
2	8	0	139668
2	9	0	139675
2	10	0	139609
2	11	0	137337
2	12	0	137343
2	13	0	137346
2	14	0	137376
2	15	0	137373
2	16	0	137369
2	17	0	135241
2	18	0	137359
2	19	0	137361
2	20	0	137353
